fiscal_year_end,net_assets_usd,total_return_pct,implied_net_flow_usd,growth_of_10000,equity_pct,etf_pct,cash_mmkt_pct,stock_line_items,top1_pct,top5_pct,top10_pct
1999-09-30,811000,0.8,,10080,,,,,,,
2000-09-30,1962000,32.06,890993,13312,,,,,,,
2001-09-30,2321000,-34.91,1043934,8665,,,,,,,
2002-09-30,2186000,-36.24,706130,5525,,,,,,,
2003-09-30,3844492,51.54,531828,8372,80.13,,19.74,71,6.6,20.67,32.85
2004-09-30,5696609,6.11,1617219,8883,74.15,,32.95,69,4.83,19.45,31.58
2005-09-30,7477611,13.64,1003985,10095,85.99,,10.31,52,8.71,29.88,44.4
2006-09-30,8391317,3.67,639278,10466,98.88,,5.3,48,8.61,34.65,53.81
2007-09-30,8687755,5.75,-186063,11067,95.2,,1.07,31,12.96,41.67,63.15
2008-09-30,5269336,-45.83,563179,5995,83.31,,6.69,31,7.0,30.92,51.94
2009-09-30,5772507,2.01,397257,6116,87.83,4.06,1.06,31,11.56,36.35,59.88
2010-09-30,4866602,11.8,-1587061,6837,85.83,11.17,4.19,27,13.99,43.11,66.71
2011-09-30,5083936,-0.88,260160,6777,85.05,5.95,9.86,29,18.0,49.5,66.16
2012-09-30,7131576,32.54,393327,8982,93.51,3.94,2.81,33,22.45,52.75,68.59
2013-09-30,8863005,19.08,370724,10696,70.1,2.83,27.68,30,12.91,38.36,53.19
2014-09-30,12628805,35.01,662862,14441,71.46,0.65,28.56,35,15.15,47.95,58.12
2015-09-30,8724234,-6.78,-3048338,13462,83.87,0.38,16.4,28,22.23,71.52,78.31
2016-09-30,10024914,16.62,-149288,15699,60.67,0.44,38.53,25,21.42,49.15,55.66
2017-09-30,16563218,-11.5,7691169,13894,98.98,0.59,0.6,31,23.38,81.14,91.6
2018-09-30,14387224,-37.97,4113060,8618,91.98,2.04,6.4,31,46.57,72.77,83.35
2019-09-30,9378900,-36.07,181148,5510,94.78,2.85,1.26,31,28.06,63.07,81.11
2020-09-30,14206304,53.08,-150916,8434,96.05,4.74,1.73,25,29.05,75.38,89.64
2021-09-30,24978640,93.63,-2529026,16331,94.09,5.18,1.47,20,49.1,81.89,90.12
2022-09-30,16340132,-33.21,-343102,10908,87.68,12.6,8.68,19,34.05,76.66,84.91
2023-09-30,17403368,13.22,-1096929,12350,76.84,5.98,18.55,18,24.87,65.46,74.14
2024-09-30,20601668,24.07,-990691,15322,81.67,9.68,10.04,17,28.05,71.78,78.89
2025-09-30,24209870,33.16,-3223311,20403,72.91,13.52,14.33,18,24.48,61.22,69.38
