fiscal_year_end,issuer,security_as_filed,type,sector_as_filed,shares,market_value_usd,pct_of_net_assets
2003-09-30,Money Market Fund - Brown,Money Market Fund - Brown & Co,MMF,Telecommunication,488078.0,488078,12.696
2003-09-30,1 350% due 10/1/03,1.350% due 10/1/03,MMF,Telecommunication,270864.0,270864,7.046
2003-09-30,PacifiCare Health,"Pacificare Health Systems, Inc. *",STOCK,Healthcare,5200.0,253760,6.601
2003-09-30,NetApp,"Network Appliance, Inc. *",STOCK,Storage Technology,8000.0,164240,4.272
2003-09-30,Genentech,"Genetech, Inc. *",STOCK,Biotechnology,2000.0,160280,4.169
2003-09-30,Andrx,Andrx Group,STOCK,Medical,6000.0,111960,2.912
2003-09-30,Computer Associates,"Computer Associates International, Inc.",STOCK,Software and Services,4000.0,104440,2.717
2003-09-30,Boeing,Boeing Co.,STOCK,Defense,3000.0,102990,2.679
2003-09-30,Merck,"Merck & Co., Inc.",STOCK,Medical,2000.0,101240,2.633
2003-09-30,Verisign,"Verisign, Inc. *",STOCK,Internet,7215.0,97114,2.526
2003-09-30,McData CL,McData Corporation CL,STOCK,Networks,7000.0,83510,2.172
2003-09-30,Watson Pharmaceuticals,"Watson Pharmaceuticals, Inc. *",STOCK,Medical,2000.0,83380,2.169
2003-09-30,Scientific-Atlanta,"Scientific Atlanta, Inc.",STOCK,Telecommunication,2500.0,77875,2.026
2003-09-30,Bristol-Meyers Squibb,Bristol-Meyers Squibb Co.,STOCK,Medical,3000.0,76980,2.002
2003-09-30,America Online,America Online Inc. *,STOCK,Internet,5000.0,75550,1.965
2003-09-30,Tyco International,Tyco International Ltd.,STOCK,Diversified Company,3500.0,71505,1.86
2003-09-30,Veritas Software,Veritas Software Corp.*,STOCK,Software and Services,2200.0,69344,1.804
2003-09-30,Check Point Software Technologies,"Check Point Software Technologies, Ltd. *",STOCK,Software and Services,4100.0,69044,1.796
2003-09-30,General Motors,General Motors Corp.,STOCK,Auto/Truck,1600.0,65488,1.703
2003-09-30,General Electric,General Electric Company,STOCK,Diversified Company,2000.0,59620,1.551
2003-09-30,Amgen,"Amgen, Inc. *",STOCK,Biotechnology,880.0,56778,1.477
2003-09-30,Broadcom,Broadcom Corp. CL,STOCK,Semiconductor,2000.0,53320,1.387
2003-09-30,Elan,Elan Corp P.L.C. ADR,STOCK,Medical,9671.0,51160,1.331
2003-09-30,Dell,Dell Computer Corp. *,STOCK,Computer,1400.0,46788,1.217
2003-09-30,Enzon Pharmaceuticals,Enzon Pharmaceuticals,STOCK,Medical,4000.0,46560,1.211
2003-09-30,Yahoo,"Yahoo, Inc. *",STOCK,Internet,1300.0,46007,1.197
2003-09-30,Juniper,"Juniper Networks, Inc. *",STOCK,Networks,3000.0,45000,1.171
2003-09-30,Genesis Microchip,"Genesis Microchip, Inc. *",STOCK,Semiconductor,4000.0,44960,1.169
2003-09-30,EMC,EMC Corp. Mass *,STOCK,Storage Technology,3500.0,44205,1.15
2003-09-30,Tenet Healthcare,Tenet Healthcare Corp.,STOCK,Healthcare,3000.0,43440,1.13
2003-09-30,Countrywide Financial,Countrywide Financial Corp. *,STOCK,Financial Service,500.0,39140,1.018
2003-09-30,Cisco,"Cisco Systems, Inc. *",STOCK,Networks,1900.0,37221,0.968
2003-09-30,Nortel Networks,Nortel Networks,STOCK,Telecommunication,9000.0,36900,0.96
2003-09-30,Phillip Morris Companies,"Phillip Morris Companies, Inc.",STOCK,Telecommunication,800.0,35040,0.911
2003-09-30,MDSI Mobile Data Solutions,"MDSI Mobile Data Solutions, Inc. *",STOCK,Networks,6000.0,33900,0.882
2003-09-30,Millennium Pharma,"Millennium Pharmaceutical, Inc. *",STOCK,Biotechnology,2000.0,30900,0.804
2003-09-30,McKesson Hboc,"McKesson Hboc, Inc.",STOCK,Medical,900.0,29961,0.779
2003-09-30,Microsoft,Microsoft Corp. *,STOCK,Software and Services,1000.0,27800,0.723
2003-09-30,Schering-Plough,Schering-Plough Corp.,STOCK,Medical,1800.0,27432,0.714
2003-09-30,Corning,"Corning, Inc.",STOCK,Electronics,2600.0,24492,0.637
2003-09-30,Calpine,Calpine Corp. *,STOCK,Electronics,5000.0,24450,0.636
2003-09-30,Micron,"Micron Technology, Inc. *",STOCK,Semiconductor,1800.0,24156,0.628
2003-09-30,Sanmina,Sanmina Corp. *,STOCK,Electronics,2500.0,24150,0.628
2003-09-30,Oracle,Oracle Corp. *,STOCK,Software and Services,2100.0,23625,0.615
2003-09-30,LSI Logic,LSI Logic Corp. *,STOCK,Semiconductor,2500.0,22475,0.585
2003-09-30,Callaway Golf,Callaway Golf Co. *,STOCK,Internet,1400.0,19978,0.52
2003-09-30,Biogen,"Biogen, Inc.*",STOCK,Biotechnology,500.0,19060,0.496
2003-09-30,Adaptec,"Adaptec, Inc. *",STOCK,Computer,2500.0,18900,0.492
2003-09-30,Cendant,Cendant Corp. *,STOCK,Financial Service,1000.0,18690,0.486
2003-09-30,Campbell Soup,Campbell Soup Co.,STOCK,Financial Service,700.0,18550,0.483
2003-09-30,Citigroup,"Citigroup, Inc.",STOCK,Financial Service,400.0,18204,0.474
2003-09-30,Applied Materials,"Applied Materials, Inc. *",STOCK,Semiconductor,1000.0,18130,0.472
2003-09-30,Solectron,Solectron Corp. *,STOCK,Electronics,3000.0,17550,0.456
2003-09-30,First Data,First Data Corp.,STOCK,Software and Services,400.0,15984,0.416
2003-09-30,Motorola,"Motorola, Inc.",STOCK,Telecommunication,1200.0,14340,0.373
2003-09-30,Natrol,"Natrol, Inc. *",STOCK,Medical,5000.0,14000,0.364
2003-09-30,Knight Trading Group,"Knight Trading Group, Inc. *",STOCK,Financial Service,1200.0,13716,0.357
2003-09-30,Eastman Kodak,Eastman Kodak Company,STOCK,Electronics,600.0,12564,0.327
2003-09-30,Tommy Hilfiger,Tommy Hilfiger Corp. *,STOCK,Telecommunication,1000.0,11910,0.31
2003-09-30,Telephone Data Systems,"Telephone & Data Systems, Inc.",STOCK,Telecommunication,200.0,11308,0.294
2003-09-30,Intel,Intel Corp.,STOCK,Semiconductor,400.0,11008,0.286
2003-09-30,AVX,AVX Corp.,STOCK,Electronics,800.0,10952,0.285
2003-09-30,SAP Aktiengesell,SAP Aktiengesell ADR,STOCK,Software and Services,300.0,9129,0.237
2003-09-30,SBC Communications,SBC Communications,STOCK,Telecommunication,400.0,8900,0.232
2003-09-30,Ciena,Ciena Corp. *,STOCK,Telecommunication,1400.0,8204,0.213
2003-09-30,AT T,AT&T Corp.,STOCK,Telecommunication,320.0,6896,0.179
2003-09-30,Wackenhut Corrections,Wackenhut Corrections Corp. *,STOCK,Healthcare,400.0,6820,0.177
2003-09-30,Advanta,Advanta Corp.,STOCK,Financial Service,600.0,6588,0.171
2003-09-30,Nokia,Nokia Corp. ADR,STOCK,Telecommunication,400.0,6240,0.162
2003-09-30,Transocean Offshore,"Transocean Offshore, Inc. *",STOCK,Networks,200.0,4000,0.104
2003-09-30,RF Micro Devices,"RF Micro Devices, Inc. *",STOCK,Electronics,400.0,3696,0.096
2003-09-30,Sun Microsystems,"Sun Microsystems, Inc. *",STOCK,Computer,1100.0,3641,0.095
