fiscal_year_end,country_as_filed,pct_of_net_assets
2007-11-30,South Korea,15.38
2007-11-30,Brazil,14.52
2007-11-30,China,13.43
2007-11-30,Russia,8.81
2007-11-30,Taiwan,8.76
2007-11-30,South Africa,7.03
2007-11-30,Mexico,4.67
2007-11-30,Turkey,3.41
2007-11-30,Indonesia,3.27
2007-11-30,Malaysia,3.07
2007-11-30,India,2.68
2007-11-30,Thailand,2.21
2007-11-30,United Kingdom,1.89
2007-11-30,Argentina,1.79
2007-11-30,Poland,1.59
2007-11-30,Peru,1.54
2007-11-30,Kazakhstan,0.99
2007-11-30,Israel,0.98
2007-11-30,Hungary,0.93
2007-11-30,Philippines,0.83
2007-11-30,United States,0.48
2007-11-30,Chile,0.4
2007-11-30,Colombia,0.37
2007-11-30,Australia,0.26
2007-11-30,Pakistan,0.23
2008-11-30,Brazil,18.58
2008-11-30,Republic of Korea,15.21
2008-11-30,China,11.5
2008-11-30,South Africa,9.22
2008-11-30,Taiwan,9.15
2008-11-30,Russia,7.47
2008-11-30,Turkey,5.03
2008-11-30,Malaysia,4.07
2008-11-30,Mexico,3.61
2008-11-30,Thailand,2.85
2008-11-30,India,2.33
2008-11-30,Argentina,2.18
2008-11-30,Kazakstan,1.51
2008-11-30,Indonesia,1.29
2008-11-30,Poland,1.24
2008-11-30,United Kingdom,1.12
2008-11-30,Philippines,0.91
2008-11-30,Peru,0.87
2008-11-30,Israel,0.64
2008-11-30,France,0.52
2008-11-30,Colombia,0.49
2008-11-30,Pakistan,0.42
2008-11-30,Hungary,0.4
2008-11-30,United States,0.4
2008-11-30,Australia,0.08
2009-11-30,Brazil,16.28
2009-11-30,Republic of Korea,14.09
2009-11-30,China,10.64
2009-11-30,South Africa,8.82
2009-11-30,Russia,8.43
2009-11-30,Hong Kong,6.41
2009-11-30,Mexico,5.12
2009-11-30,Taiwan,5.08
2009-11-30,Turkey,3.51
2009-11-30,Thailand,2.81
2009-11-30,Argentina,2.54
2009-11-30,Malaysia,2.29
2009-11-30,United States,2.25
2009-11-30,Indonesia,2.24
2009-11-30,India,1.69
2009-11-30,United Kingdom,1.46
2009-11-30,Israel,1.26
2009-11-30,Poland,1.02
2009-11-30,Lending Collateral,0.86
2009-11-30,Peru,0.85
2009-11-30,Philippines,0.52
2009-11-30,Luxembourg,0.5
2009-11-30,Canada,0.46
2009-11-30,Hungary,0.41
2009-11-30,France,0.41
2009-11-30,Australia,0.36
2009-11-30,Pakistan,0.22
2009-11-30,Kazakhstan,0.04
2010-11-30,China/Hong Kong,17.3
2010-11-30,Brazil,15.59
2010-11-30,Republic of Korea,11.24
2010-11-30,United States,9.71
