fiscal_year_end,net_assets_usd,line_items,issuers,top1_pct,top5_pct,top10_pct,top10_hhi,korea_taiwan_pct,china_hk_pct,semis_memory_pct
2007-11-30,1067446481,149,144,3.98,16.57,26.37,76.3,24.14,13.43,5.38
2008-11-30,358334470,126,116,6.29,24.1,37.68,157.7,24.36,11.5,6.8
2009-11-30,725907127,148,136,3.94,17.13,27.24,80.0,19.18,17.06,4.51
2010-11-30,1444012147,158,144,4.84,17.54,27.27,83.9,17.47,17.35,3.52
2011-11-30,2423858498,174,162,4.73,19.03,28.59,95.6,21.77,16.98,5.02
2012-11-30,1854486661,112,108,7.24,23.81,35.54,152.4,26.93,17.44,8.53
2013-11-30,2660476581,123,116,4.57,21.15,35.98,134.6,22.39,20.69,6.71
2014-11-30,3097135833,131,125,5.59,21.15,33.68,126.4,24.94,20.73,8.08
2015-11-30,1684083243,108,103,7.21,29.43,42.25,212.1,20.83,33.35,10.16
2016-11-30,1964826066,109,104,6.25,24.13,37.91,161.6,18.79,31.08,9.39
2017-11-30,4735845130,140,133,6.55,24.2,39.16,168.1,25.72,30.4,12.88
2018-11-30,5133530375,145,136,7.19,26.51,43.4,208.9,26.67,29.7,15.54
2019-11-30,5353330740,136,129,8.65,29.56,47.85,253.7,27.14,29.99,20.33
2020-11-30,5728643403,120,115,9.12,35.57,59.21,371.2,32.37,36.8,26.4
2021-11-30,6420185432,134,128,10.27,34.88,57.26,360.5,34.21,29.06,31.23
2022-11-30,4755796596,136,129,10.7,37.47,56.34,385.5,35.76,27.49,31.62
2023-11-30,4823514392,132,125,11.87,41.31,61.47,447.3,43.12,24.46,38.95
2024-11-30,5240031546,127,120,18.43,46.89,61.07,595.1,48.51,17.05,43.48
2025-11-30,7979517738,120,114,17.86,58.7,72.49,853.1,61.83,13.42,55.37
