fiscal_year_end,issuer,security_as_filed,shares,market_value_usd,pct_of_net_assets,country,source
2007-11-30,Gazprom,Gazprom ADR,717731.0,37797796,3.541,Russia,N-CSR
2007-11-30,Petrobras,Petroleo Brasileiro ADR,444100.0,36047596,3.377,Brazil,N-CSR
2007-11-30,Vale,Cia Vale do Rio Doce Class A 2.59%,1124386.0,32708612,3.0642,Brazil,N-CSR
2007-11-30,Samsung Electronics,Samsung Electronics,46700.0,28668063,2.6857,South Korea,N-CSR
2007-11-30,China Unicom,China Unicom,11582979.0,27104821,2.5392,China,N-CSR
2007-11-30,Eletrobras,Centrais Eletricas Brasileiras,1936182.0,27000921,2.5295,Brazil,N-CSR
2007-11-30,LUKOIL,LUKOIL ADR (London International Exchange),220000.0,19023334,1.7821,Russia,N-CSR
2007-11-30,Buenaventura,Cia de Minas Buenaventura ADR,294600.0,16447518,1.5408,Peru,N-CSR
2007-11-30,China Telecom,China Telecom,18606581.0,14973015,1.4027,China,N-CSR
2007-11-30,Bukit Asam,Tambang Batubara Bukit Asam,10808415.0,14026150,1.314,Indonesia,N-CSR
2007-11-30,Grupo Televisa,Grupo Televisa ADR,571300.0,13808322,1.2936,Mexico,N-CSR
2007-11-30,Samsung Electronics,Samsung Electronics 0.13%,31362.0,13766727,1.2897,South Korea,N-CSR
2007-11-30,Evergreen Marine,Evergreen Marine,15813000.0,13693316,1.2828,Taiwan,N-CSR
2007-11-30,China Netcom Group,China Netcom Group ADR,203300.0,13025431,1.2202,China,N-CSR
2007-11-30,Anglo American,Anglo American,189468.0,12769456,1.1963,United Kingdom,N-CSR
2007-11-30,Standard Bank,Standard Bank Group,802576.0,12384316,1.1602,South Africa,N-CSR
2007-11-30,Lehman CW12 Indian Oil,Lehman CW12 Indian Oil 144A,2542866.0,11938584,1.1184,India,N-CSR
2007-11-30,ArcelorMittal Steel South Africa,ArcelorMittal Steel South Africa,560310.0,11406270,1.0686,South Africa,N-CSR
2007-11-30,KT,KT,213064.0,11291312,1.0578,South Korea,N-CSR
2007-11-30,Reliance Industries,Reliance Industries GDR 144A,76304.0,11159460,1.0454,India,N-CSR
2007-11-30,Turkiye Is Bankasi,Turkiye Is Bankasi Class C,1710014.0,10953142,1.0261,Turkey,N-CSR
2007-11-30,Formosa Chemicals & Fibre,Formosa Chemicals & Fibre,4270420.0,10933070,1.0242,Taiwan,N-CSR
2007-11-30,Kookmin Bank,Kookmin Bank,149755.0,10831152,1.0147,South Korea,N-CSR
2007-11-30,Mobile Telesystems,Mobile Telesystems ADR,119000.0,10793300,1.0111,Russia,N-CSR
2007-11-30,Polski Koncern Naftowy Orlen,Polski Koncern Naftowy Orlen,507076.0,10747295,1.0068,Poland,N-CSR
2007-11-30,PetroChina,PetroChina ADR,55800.0,10699092,1.0023,China,N-CSR
2007-11-30,Sasol,Sasol,211437.0,10690059,1.0015,South Africa,N-CSR
2007-11-30,Walsin Lihwa,Walsin Lihwa,24255000.0,10640797,0.9968,Taiwan,N-CSR
2007-11-30,KazMunaiGas Exploration Production,KazMunaiGas Exploration Production GDR,405541.0,10544066,0.9878,Kazakhstan,N-CSR
2007-11-30,Energias do Brasil,Energias do Brasil,701200.0,10502159,0.9839,Brazil,N-CSR
2007-11-30,Israel Chemicals,Israel Chemicals,982363.0,10499304,0.9836,Israel,N-CSR
2007-11-30,Votorantim Celulose e Papel,Votorantim Celulose e Papel ADR,308658.0,10253619,0.9606,Brazil,N-CSR
2007-11-30,China Steel,China Steel,7704170.0,10241500,0.9594,Taiwan,N-CSR
2007-11-30,SK Telecom,SK Telecom,37180.0,10013259,0.9381,South Korea,N-CSR
2007-11-30,Telkom,Telkom,456644.0,9804109,0.9185,South Africa,N-CSR
2007-11-30,Korea Electric Power,Korea Electric Power,220420.0,9283531,0.8697,South Korea,N-CSR
2007-11-30,Uni-President Enterprises,Uni-President Enterprises,6954300.0,9055264,0.8483,Taiwan,N-CSR
2007-11-30,LUKOIL,LUKOIL ADR,102720.0,8885280,0.8324,Russia,N-CSR
2007-11-30,NovaTek,NovaTek GDR,137222.0,8878263,0.8317,Russia,N-CSR
2007-11-30,Cathay Financial Holding,Cathay Financial Holding,3747785.0,8445921,0.7912,Taiwan,N-CSR
2007-11-30,Siam Cement,Siam Cement NVDR,1220843.0,8333050,0.7807,Thailand,N-CSR
2007-11-30,CSN,Cia Siderurgica Nacional,108912.0,8292792,0.7769,Brazil,N-CSR
