fiscal_year_end,rank,issuer,pct_of_net_assets,market_value_usd,source
2007-11-30,1,Samsung Electronics,3.98,42434790,N-CSR
2007-11-30,2,Gazprom,3.54,37797796,N-CSR
2007-11-30,3,Petrobras,3.38,36047596,N-CSR
2007-11-30,4,Vale,3.06,32708612,N-CSR
2007-11-30,5,LUKOIL,2.61,27908614,N-CSR
2007-11-30,6,China Unicom,2.54,27104821,N-CSR
2007-11-30,7,Eletrobras,2.53,27000921,N-CSR
2007-11-30,8,PetroChina,1.77,18921498,N-CSR
2007-11-30,9,Buenaventura,1.54,16447518,N-CSR
2007-11-30,10,China Mobile,1.41,15100017,N-CSR
2008-11-30,1,Eletrobras,6.29,22536092,N-CSR
2008-11-30,2,Samsung Electronics,5.44,19509627,N-CSR
2008-11-30,3,Vale,4.23,15163875,N-CSR
2008-11-30,4,Petrobras,4.18,14963648,N-CSR
2008-11-30,5,China Unicom,3.96,14185362,N-CSR
2008-11-30,6,Korea Electric Power,3.11,11148277,N-CSR
2008-11-30,7,PetroChina,3.03,10863530,N-CSR
2008-11-30,8,Gazprom,2.7,9666203,N-CSR
2008-11-30,9,Sasol,2.59,9272618,N-CSR
2008-11-30,10,Evergreen Marine,2.15,7719430,N-CSR
2009-11-30,1,Petrobras,3.94,28613099,N-CSR
2009-11-30,2,Samsung Electronics,3.6,26101519,N-CSR
2009-11-30,3,Eletrobras,3.59,26095391,N-CSR
2009-11-30,4,Vale,3.16,22928794,N-CSR
2009-11-30,5,China Mobile,2.84,20622800,N-CSR
2009-11-30,6,Gazprom,2.25,16316899,N-CSR
2009-11-30,7,Korea Electric Power,2.13,15490659,N-CSR
2009-11-30,8,China Unicom,1.99,14435463,N-CSR
2009-11-30,9,Vodacom Group,1.91,13891536,N-CSR
2009-11-30,10,Sberbank,1.82,13237615,N-CSR
2010-11-30,1,Petrobras,4.84,69830000,N-CSR
2010-11-30,2,Yahoo!,3.64,52592950,N-CSR
2010-11-30,3,China Mobile,3.45,49849999,N-CSR
2010-11-30,4,Vale,2.94,42510074,N-CSR
2010-11-30,5,Samsung Electronics,2.66,38446516,N-CSR
2010-11-30,6,Gazprom,2.54,36696000,N-CSR
2010-11-30,7,Bunge,2.11,30410000,N-CSR
2010-11-30,8,KB Financial,1.75,25322000,N-CSR
2010-11-30,9,Archer-Daniels-Midland,1.71,24641500,N-CSR
2010-11-30,10,Eletrobras,1.63,23495441,N-CSR
2011-11-30,1,Petrobras,4.73,114619751,N-CSR
2011-11-30,2,Avon Products,4.52,109650000,N-CSR
2011-11-30,3,Samsung Electronics,4.3,104145174,N-CSR
2011-11-30,4,Yahoo!,3.44,83263000,N-CSR
2011-11-30,5,Archer-Daniels-Midland,2.05,49698000,N-CSR
2011-11-30,6,SK Telecom,1.99,48350213,N-CSR
2011-11-30,7,China Unicom,1.99,48131474,N-CSR
2011-11-30,8,Vale,1.9,46027331,N-CSR
2011-11-30,9,China Mobile,1.84,44703001,N-CSR
2011-11-30,10,Hon Hai Precision,1.83,44339183,N-CSR
